title,category,body,keywords
"What is Makutano AI",Overview,"Makutano AI is an AI sales assistant for your business. It turns every website visitor, WhatsApp enquiry, Instagram bio click, Google Business visitor and QR scan into a qualified sales conversation, 24 hours a day. It answers customer questions instantly, recommends the right product or service from your own catalogue, explains pricing and availability, qualifies serious buyers, and hands them to your WhatsApp with the full conversation.","what is makutano, ai assistant, ai sales, chatbot, overview, about"
"Who Makutano is for",Overview,"Makutano is built for any business that answers customer questions and captures leads. It adapts to your industry, so tour operators, hotels and lodges, hospitals and clinics, schools and universities, government services, shops and retail, real estate agencies, restaurants and cafes, ICT and tech agencies, and any other business can all use it.","who is it for, industries, use cases, suitable for"
"Why choose Makutano",Overview,"You never miss an enquiry again. Makutano replies instantly, day and night, even while you sleep. It qualifies leads automatically, captures contact details, and sends booking-ready customers straight to your team. It is like hiring your best salesperson, one that never sleeps and never forgets to follow up.","why makutano, benefits, value, never miss a lead"
"Your AI salesperson",AI Team,"The core assistant answers every customer in seconds, recommends the right option from your catalogue, explains pricing and availability, qualifies the serious buyers, and hands them to WhatsApp with the full conversation, day and night.","ai salesperson, sales agent, answers customers, recommends, qualifies"
"Your AI data analyst",AI Team,"Ask your business numbers anything and get an answer from your real data: your top performers, where leads drop off, your conversion rate, and what customers ask about most. No spreadsheets needed.","ai analyst, analytics, insights, numbers, reporting, data"
"Your AI research assistant",AI Team,"Point it at a question customers keep asking and it researches the topic, drafts a knowledge entry for you to approve, and keeps your website content in sync so your assistant only gets sharper over time.","ai researcher, research, knowledge gaps, drafts, website sync"
"Hosted AI page and QR code",Feature,"You get a ready-made AI page and a QR code, so you can start capturing leads even without a website. Share the link on WhatsApp, Instagram or Google Business, or print the QR code for your shop, flyer or vehicle.","hosted page, qr code, no website, share link, landing page"
"Website chat widget",Feature,"Add a chat bubble to your own website with a single line of code. It matches your brand colour and logo, works on mobile, and greets visitors so they start a conversation.","widget, chat bubble, embed, website chat, script tag"
"WhatsApp lead handoff",Feature,"Connect your WhatsApp number and the assistant hands sales-ready customers straight to you on WhatsApp, with the full context of what they want, so you can close the deal.","whatsapp, lead handoff, follow up, contact, close"
"Email lead alerts",Feature,"Get an email the moment a sales-ready lead arrives, so your team can follow up fast even when they are away from the dashboard.","email alerts, notifications, leads, follow up"
"AI-qualified leads and pipeline",Feature,"Every conversation is scored by how ready the customer is to buy and organised into a simple pipeline, so you always follow up the hottest leads first.","lead scoring, pipeline, qualified leads, hot leads, crm"
"Conversation history and summaries",Feature,"Every chat is saved and summarised for your team, so you can see what customers asked, what was discussed, and what to do next.","conversations, history, summaries, transcripts"
"Bulk knowledge import",Feature,"Add your whole catalogue at once by pasting a CSV or JSON file, instead of adding items one by one. Perfect for getting set up quickly.","bulk import, csv, json, upload catalogue, import"
"Website knowledge sync",Feature,"Point Makutano at your existing website and it imports your pages automatically and keeps them in sync, so the assistant always answers from your latest information.","website sync, auto import, crawl, scan website, keep updated"
"Adapts to your industry",Feature,"Makutano is multi-industry. It adapts its wording, the questions it asks, the categories you use, and the setup, to fit your business, whether you sell tours, rooms, appointments, programmes, products, properties or tech services.","multi industry, adapts, industry specific, terminology"
"Speaks your customers language",Feature,"The assistant understands and replies in your customers language, including English and Swahili, so no one is turned away by language.","languages, multilingual, swahili, english, translation"
"Industries Makutano serves",Industry,"Makutano works for tour operators and travel, hotels and lodges, hospitals and clinics, schools and universities, government and public service, shops and retail, real estate, restaurants and cafes, ICT and tech agencies, and any other business or organisation.","industries, verticals, tourism, hotel, healthcare, education, government, retail, real estate, restaurant, ict, tech"
"How Makutano works",How it works,"Getting started takes minutes. Step one, sign up and pick your industry. Step two, tell us about your business. Step three, add your knowledge by typing it, bulk importing a CSV, or syncing your website. Step four, choose your channels like WhatsApp or a chat widget. Step five, go live and share your page. Most businesses are live in under 10 minutes.","how it works, setup, steps, getting started, onboarding"
"No website required",How it works,"You do not need a website to use Makutano. You get a hosted AI page and a QR code, so you can start answering customers and capturing leads straight away. If you do have a website, you can also embed the chat widget.","no website, hosted page, qr, without website"
"How fast can I go live",How it works,"Most businesses are live in under 10 minutes. Sign up, add a little about your business and your first few items, and share your page or embed the widget.","how fast, live in minutes, quick setup, time to launch"
"Pricing overview",Pricing,"Makutano AI is billed monthly and starts free. There are four plans: Free (TZS 0), Starter (TZS 55,000 per month), Growth (TZS 120,000 per month — our most popular) and Pro (TZS 220,000 per month). Plans differ by how many AI conversations you get each month and which advanced features are unlocked. Upgrade anytime, no hidden fees.","pricing, plans, cost, how much, price, tzs, rates"
"Free plan",Pricing,"Free — TZS 0 per month, about 125 AI conversations per month. Includes the hosted AI page and QR code, WhatsApp lead handoff and AI-qualified leads. The easiest way to try Makutano, with no credit card required.","free plan, free, tzs 0, 125 conversations, no credit card, get started free"
"Starter plan",Pricing,"Starter — TZS 55,000 per month, about 1,500 AI conversations per month. Everything in Free plus the website chat widget, email lead alerts, conversation history and summaries, and structured catalogue and pricing. Ideal for growing businesses.","starter plan, starter, tzs 55000, 55000, 1500 conversations, small business"
"Growth plan",Pricing,"Growth — TZS 120,000 per month, about 3,750 AI conversations per month. Our most popular plan. Everything in Starter plus bulk knowledge import (CSV and JSON), the option to remove the Powered by Makutano badge, the AI data analyst and the AI research assistant. Built for busy teams.","growth plan, growth, tzs 120000, 120000, 3750 conversations, most popular, teams"
"Pro plan",Pricing,"Pro — TZS 220,000 per month, about 8,000 AI conversations per month. Everything in Growth plus website knowledge sync, the advanced Sonnet AI model, chat file attachments (photos and PDFs) and dedicated support. For high-volume businesses.","pro plan, pro, tzs 220000, 220000, 8000 conversations, high volume, advanced, dedicated support"
"What counts as a conversation",Pricing,"A conversation is one chat session with a visitor, no matter how many messages it takes. Each plan includes a monthly allowance: about 125 on Free, 1,500 on Starter, 3,750 on Growth and 8,000 on Pro. Upgrade anytime for more.","conversation, what counts, usage, limits, allowance, how many conversations"
"Do I need a website",FAQ,"No. Makutano gives you a hosted AI page and a QR code, so you can go live and capture leads without a website. If you have a website, you can also embed the chat widget with one line of code.","need a website, without website, faq, no site"
"How do leads reach me",FAQ,"Connect your WhatsApp number and, when a visitor is ready, the assistant hands them to your WhatsApp with the full context. It can also email you the moment a lead arrives.","how do i get leads, whatsapp, email, lead delivery, faq"
"Can it answer in Swahili",FAQ,"Yes. The assistant understands and replies in your customers language, including English and Swahili, so you can serve everyone.","swahili, language, multilingual, faq"
"Will it make up answers",FAQ,"No. The assistant only answers from the knowledge you add, so it never invents prices or details. Add your catalogue and information and it stays accurate and on-brand.","accuracy, hallucination, made up, invent, faq, reliable"
"How do I embed it on my site",FAQ,"Copy the one-line script tag from your dashboard and paste it into your website. The chat bubble appears instantly and matches your brand.","embed, install, script, add to website, faq, integrate"
"Is my data private",FAQ,"Your knowledge is used only to answer your own customers, and conversations are saved to your private workspace for your team. You stay in control of what the assistant knows.","privacy, data, secure, gdpr, faq, confidential"
"How do I get started",FAQ,"Click Get started free at the top of the page, pick your industry, add a little about your business, and share your page. You can be live in minutes with no credit card.","get started, sign up, begin, faq, start now"
"Talk to us or book a demo",Contact,"Ready to see it on your own business? Click Get started free to launch your assistant in minutes, or leave your name and WhatsApp number here and we will reach out to help you set up and give you a quick demo.","contact, demo, sales, talk to us, book a demo, get in touch"
